time,open,high,low,close,Volume
1597152600,14.199,14.54285,13.479,13.489,3338920
1597239000,13.502,14.075,13.502,13.704,1807220
1597325400,13.848,13.9345,13.685,13.7,752160
1597411800,13.762,14.675,13.75,14.663,2857870
1597671000,14.801,15.17,14.184,14.384,2295090
1597757400,14.444,14.598,14.175,14.314,1218240
1597843800,14.339,14.339,13.9715,14.167,1560090
1597930200,14.175,14.506,14.175,14.414,1006740
1598016600,14.44,14.592,14.354,14.508,734640
1598275800,14.65,14.928,14.536,14.858,879930
1598362200,14.87,15.029,14.655,14.696,1165050
1598448600,14.868,14.896,14.5765,14.606,820040
1598535000,14.733,14.762,14.414,14.652,760870
1598621400,14.749,15.046,14.668,14.689,838570
1598880600,14.726,14.79604,14.399,14.444,802910
1598967000,14.501,14.9105,14.501,14.882,863490
1599053400,14.846,15.123,14.774,15.0,1004830
1599139800,14.875,14.875,14.391,14.428,789950
1599226200,14.441,14.441,13.689,14.219,1248270
1599571800,14.061,14.315,13.882,13.882,883910
1599658200,13.983,14.2355,13.9,14.115,1407420
1599744600,14.172,14.309,13.944,13.972,1486610
1599831000,14.087,14.1405,13.884,14.113,1164030
1600090200,14.163,14.304,14.021,14.262,695050
1600176600,14.5,15.599,14.381,15.575,2621230
1600263000,15.894,17.65597,15.775,17.49,4596690
1600349400,17.34,17.34,16.259,16.361,1798000
1600435800,16.552,16.6169,15.744,15.959,3469670
1600695000,15.77,15.77,14.9205,15.216,1597000
1600781400,15.337,15.465,14.93869,15.425,896600
1600867800,15.38,15.477,14.811,14.828,1116530
1600954200,14.738,14.806,14.46,14.606,1221850
1601040600,14.617,14.696,14.499,14.613,1692740
1601299800,14.845,15.341,14.845,15.146,1443970
1601386200,15.067,15.11,14.808,14.969,623970
1601472600,15.022,15.307,14.986,15.056,823790
1601559000,15.066,15.271,14.855,14.896,694170
1601645400,14.632,14.995,14.516,14.646,1102680
1601904600,14.773,14.974,14.69,14.821,495430
1601991000,14.932,15.43539,14.923,15.004,912340
1602077400,15.1,15.344,15.0825,15.309,517800
1602163800,15.533,16.47899,15.533,16.394,1679740
1602250200,16.459,16.553,16.065,16.473,1020610
1602509400,16.716,16.94,16.43,16.646,881520
1602595800,16.56,16.654,16.403,16.608,585630
1602682200,16.639,16.784,16.28,16.424,539520
1602768600,16.243,16.687,16.233,16.597,531030
1602855000,16.598,16.736,16.469,16.47,384910
1603114200,16.56,16.768,16.343,16.414,873030
